#{"t_start": 1789589511.7280865, "env_id": "None"}
r,l,t
-45.717501,45,569.355645
-57.663999,73,570.207621
-46.401857,44,570.723753
-43.46401,40,571.18962
-45.319768,46,571.729845
-46.633824,40,572.198667
-61.390428,50,572.782367
-45.699671,41,573.262346
-45.821219,41,573.742445
-152.66845,165,575.659325
-216.32286,231,578.334562
-48.112473,46,580.182955
-47.619286,40,580.662395
-45.892538,45,581.190903
-50.361451,44,581.703584
-272.339934,178,583.764456
-40.460456,53,584.377156
-48.238064,48,584.936118
-139.83911,152,586.773004
-70.828075,55,587.479972
-167.336106,123,588.962312
-46.99706,40,589.507474
-47.987522,40,590.024342
-56.243728,47,590.60207
-48.742772,40,591.072882
-153.209387,123,592.494917
-46.631985,39,592.950245
-45.381248,46,593.48177
-49.056327,47,594.027625
-54.215596,45,594.549439
-45.760672,41,595.027055
-46.089047,45,595.54833
-47.269293,42,596.037299
-45.703782,41,596.514115
-46.12685,39,596.967481
-46.293482,39,597.420796
-47.384732,42,597.908753
-46.313123,39,598.364689
-51.768565,43,598.867291
-40.241882,46,599.404688
-43.084526,52,600.012559
-56.431183,45,600.535826
-45.97335,40,601.004578
-44.321372,46,601.542231
-67.113702,52,602.149126
-548.051844,500,609.35709
-53.241053,52,609.963302
-174.584737,129,611.454191
-43.65964,41,611.932376
-46.196814,45,612.456028
-41.660451,49,613.029363
-50.205506,43,613.529306
-155.756122,110,614.80178
-187.79568,171,616.769324
-220.14158,277,620.082066
-44.565952,45,620.620796
-550.39757,500,626.395464
-575.074973,500,633.53608
-587.564277,500,639.341409
-46.687216,45,639.863115
-39.855675,55,640.503613
-38.598431,65,641.258323
-53.438191,43,641.759011
-43.927698,46,642.294205
-46.466331,77,643.183944
-92.880805,81,644.122965
-69.555486,59,644.809155
-44.445653,45,645.332187
-43.704932,47,645.875662
-52.065528,55,646.508783
-46.102553,40,646.974226
-46.177142,39,647.427034
-40.632273,58,648.100242
-45.206675,39,648.553164
-169.629624,114,649.990122
-45.061477,47,650.564118
-48.945851,74,651.419816
-52.529749,41,651.899828
-472.044714,468,658.662695
-44.790904,46,659.201957
-102.623279,70,660.016288
-38.325731,59,660.700884
-61.082852,57,661.363611
-557.187667,422,666.246646
-73.835379,62,666.970443
-65.618407,49,667.539713
-146.467985,107,668.781739
-43.690825,46,669.317493
-44.004155,45,669.841236
-41.341907,46,670.376859
-64.639372,60,671.071954
-52.448571,47,671.620175
-44.667399,39,672.076823
-57.92962,45,672.598346
-54.776987,43,673.138832
-54.296063,51,673.764713
-46.769873,46,674.304745
-36.838798,73,675.146024
-51.821585,54,675.774311
-348.161262,371,681.484546
-52.717337,50,682.072269
-38.955531,59,682.758123
-43.805776,46,683.290427
-42.265789,48,683.847816
-67.583312,53,684.460477
-144.226257,102,685.638012
-163.662714,123,687.061934
-53.148725,58,687.735878
-53.371737,59,688.423589
-45.801827,47,688.973313
-47.707142,40,689.440776
-50.649025,42,689.932243
-94.674321,78,690.836603
-47.364407,40,691.304998
-560.207981,500,697.093859
-53.128744,42,697.584903
-51.694565,41,698.064934
-59.286082,47,698.607045
-41.000851,55,699.248514
-42.52284,47,699.796762
-674.966156,500,706.917737
-38.783313,58,707.588536
-92.858355,83,708.548316
-45.048953,45,709.108805
-52.198103,46,709.690216
-76.791584,57,710.391964
-51.39475,51,710.981399
-109.221505,101,712.159804
-43.134245,45,712.692863
-57.940577,51,713.312735
-156.508823,148,715.018831
-50.503618,48,715.576428
-51.449804,57,716.241871
-48.185618,39,716.696287
-45.362856,40,717.161727
-40.258703,52,717.770115
-38.339418,62,718.493142
-48.76666,57,719.155293
-186.771565,168,721.100461
-156.721625,202,723.435782
-418.373696,500,729.2113
-480.508774,383,734.915377
-38.697078,60,735.613714
-43.690845,46,736.148608
-531.656828,500,742.041134
-51.22617,47,742.587077
-39.95441,48,743.145105
-64.308462,66,743.908983
-46.685623,39,744.362019
-48.29743,49,744.935269
-142.44962,148,746.648748
-63.936611,53,747.26624
-45.697462,45,747.790813
-51.424903,59,748.482815
-48.721884,52,749.089622
-156.012227,262,752.124152
-62.395946,57,752.789423
-39.429963,61,753.4986
-62.160048,57,754.165021
-47.0817,48,754.722316
-42.239404,50,755.303526
-41.622183,49,757.193181
-42.0706,45,757.717422
-43.965821,45,758.245547
-322.935829,348,762.250441
-43.925801,46,762.785982
-42.797125,48,763.341515
-193.556695,174,765.340657
-101.398508,97,766.462944
-50.990505,41,766.938391
-39.695262,61,767.666606
-43.666702,42,768.181839
-44.747212,40,768.650924
-44.350405,47,769.245006
-55.69833,55,769.933487
-50.161619,41,770.431977
-49.880447,41,770.910482
-44.146895,48,771.464922
-38.64563,60,772.16205
-44.965781,40,772.629938
-40.38371,54,773.260078
-60.272669,50,773.839744
-42.956985,76,774.723645
-46.784061,39,775.206769
-44.236536,46,775.740914
-53.408149,52,776.348663
-48.416786,40,776.817589
-70.34531,53,777.438856
-265.641284,189,779.629304
-202.136578,144,782.688932
-46.785902,39,783.146861
-148.022157,151,784.901052
-45.307421,42,785.389622
