step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
56,3.733,A,6.918,1.078,4.4,4.4,6.918,1.078,3.528,1.000,-1.000,-2.154
56,3.733,B,9.072,-0.287,3.9,3.9,9.072,-0.287,4.497,1.000,-0.011,2.154
57,3.800,A,7.154,1.096,4.3,4.3,7.154,1.096,3.564,1.000,-1.000,-2.219
57,3.800,B,9.373,-0.273,3.5,3.5,9.373,-0.273,4.543,1.000,-0.085,2.219
58,3.867,A,7.393,1.108,4.0,4.0,7.393,1.108,3.594,1.000,-1.000,-2.287
58,3.867,B,9.680,-0.258,3.3,3.3,9.680,-0.258,4.646,1.000,-0.134,2.287
59,3.933,A,7.634,1.108,2.9,2.9,7.634,1.108,3.613,0.953,-1.000,-2.361
59,3.933,B,9.994,-0.249,2.8,2.8,9.994,-0.249,4.765,1.000,-0.152,2.361
60,4.000,A,7.876,1.094,1.4,1.4,7.875,1.094,3.623,0.943,-1.000,-2.442
60,4.000,B,10.317,-0.245,2.1,2.1,10.317,-0.245,4.893,1.000,-0.058,2.442
61,4.067,A,8.117,1.066,-0.7,-0.7,8.117,1.066,3.630,0.922,-1.000,-2.531
61,4.067,B,10.648,-0.242,1.6,1.6,10.648,-0.242,5.008,1.000,-0.390,2.531
62,4.133,A,8.358,1.021,-3.2,-3.2,8.358,1.021,3.640,0.907,-1.000,-2.626
62,4.133,B,10.984,-0.243,1.0,1.0,10.984,-0.243,5.048,1.000,0.644,2.626
63,4.200,A,8.597,0.961,-6.1,-6.1,8.597,0.961,3.655,1.000,-1.000,-2.724
63,4.200,B,11.321,-0.247,0.4,0.4,11.321,-0.247,5.060,1.000,-0.147,2.724
64,4.267,A,8.834,0.883,-9.2,-9.2,8.834,0.883,3.694,1.000,-0.556,-2.825
64,4.267,B,11.659,-0.250,0.1,0.1,11.659,-0.250,5.075,1.000,0.056,2.825
65,4.333,A,9.072,0.796,-12.1,-12.1,9.072,0.796,3.804,1.000,-0.428,-2.928
65,4.333,B,12.000,-0.255,-0.2,-0.2,12.000,-0.255,5.135,1.000,0.061,2.928
66,4.400,A,9.318,0.711,-13.9,-13.9,9.318,0.711,3.943,1.000,0.661,-3.029
66,4.400,B,12.347,-0.251,0.1,0.1,12.347,-0.251,5.252,1.000,0.069,3.029
67,4.467,A,9.570,0.629,-15.0,-15.0,9.570,0.629,3.993,1.000,1.000,-3.132
67,4.467,B,12.703,-0.244,0.5,0.5,12.703,-0.244,5.388,1.000,-0.060,3.132
68,4.533,A,9.827,0.555,-15.3,-15.3,9.827,0.555,4.027,1.000,1.000,-3.237
68,4.533,B,13.065,-0.240,0.5,0.5,13.065,-0.240,5.455,1.000,-0.077,3.237
