step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
59,3.933,B,8.764,0.820,-0.3,-0.3,8.764,0.820,4.337,0.989,-1.000,-1.403
60,4.000,A,10.458,-0.467,11.7,11.7,10.458,-0.467,4.293,1.000,-0.458,1.402
60,4.000,B,9.056,0.819,-0.3,-0.3,9.056,0.819,4.393,0.961,-1.000,-1.402
61,4.067,A,10.753,-0.468,11.9,11.9,10.753,-0.468,4.349,1.000,-0.499,1.403
61,4.067,B,9.350,0.816,-0.3,-0.3,9.350,0.816,4.435,0.962,-1.000,-1.403
62,4.133,A,11.051,-0.470,12.0,12.0,11.050,-0.470,4.364,1.000,-0.401,1.402
62,4.133,B,9.648,0.814,-0.4,-0.4,9.648,0.814,4.502,0.904,-1.000,-1.402
63,4.200,A,11.350,-0.471,12.3,12.3,11.350,-0.471,4.412,1.000,-0.550,1.401
63,4.200,B,9.949,0.809,-0.5,-0.5,9.949,0.809,4.512,0.979,-1.000,-1.401
64,4.267,A,11.652,-0.473,12.5,12.5,11.652,-0.473,4.402,1.000,-0.374,1.401
64,4.267,B,10.251,0.806,-0.6,-0.6,10.251,0.806,4.564,0.821,-1.000,-1.401
65,4.333,A,11.953,-0.475,12.8,12.8,11.953,-0.475,4.411,1.000,-0.560,1.398
65,4.333,B,10.556,0.800,-0.7,-0.7,10.556,0.800,4.570,0.954,-1.000,-1.398
66,4.400,A,12.256,-0.477,13.2,13.2,12.256,-0.477,4.428,1.000,-0.550,1.395
66,4.400,B,10.861,0.793,-0.9,-0.9,10.861,0.793,4.576,0.841,-1.000,-1.395
67,4.467,A,12.562,-0.482,13.4,13.4,12.562,-0.482,4.470,1.000,-0.579,1.396
67,4.467,B,11.167,0.787,-1.0,-1.0,11.167,0.787,4.609,0.838,-1.000,-1.396
68,4.533,A,12.871,-0.488,13.5,13.5,12.871,-0.488,4.491,1.000,-0.536,1.396
68,4.533,B,11.476,0.780,-1.1,-1.1,11.476,0.780,4.653,0.841,-1.000,-1.396
69,4.600,A,13.182,-0.494,13.8,13.8,13.182,-0.494,4.534,1.000,-0.626,1.396
69,4.600,B,11.787,0.772,-1.2,-1.2,11.787,0.772,4.667,0.901,-1.000,-1.396
70,4.667,A,13.496,-0.501,14.0,14.0,13.496,-0.501,4.531,1.000,-0.439,1.396
70,4.667,B,12.100,0.764,-1.3,-1.3,12.100,0.764,4.721,0.711,-1.000,-1.396
71,4.733,A,13.808,-0.507,14.3,14.3,13.808,-0.507,4.526,1.000,-0.594,1.394
71,4.733,B,12.414,0.755,-1.4,-1.4,12.414,0.755,4.719,0.835,-1.000,-1.394
72,4.800,A,14.123,-0.509,14.5,14.5,14.122,-0.509,4.574,1.000,-0.650,1.395
72,4.800,B,12.727,0.749,-1.3,-1.3,12.727,0.749,4.706,0.609,-1.000,-1.395
73,4.867,A,14.438,-0.515,14.4,14.4,14.438,-0.515,4.545,1.000,-0.336,1.396
73,4.867,B,13.042,0.743,-1.3,-1.3,13.042,0.743,4.746,0.567,-1.000,-1.396
74,4.933,A,14.751,-0.520,14.4,14.4,14.751,-0.520,4.547,1.000,-0.567,1.394
74,4.933,B,13.358,0.737,-1.2,-1.2,13.358,0.737,4.712,0.530,-1.000,-1.394
75,5.000,A,15.066,-0.519,14.4,14.4,15.066,-0.519,4.579,1.000,-0.715,1.397
75,5.000,B,13.669,0.735,-1.0,-1.0,13.669,0.735,4.659,0.582,-1.000,-1.397
76,5.067,A,15.378,-0.523,14.2,14.2,15.378,-0.523,4.467,1.000,-0.042,1.397
76,5.067,B,13.981,0.731,-0.9,-0.9,13.981,0.731,4.699,0.555,-1.000,-1.397
77,5.133,A,15.685,-0.531,13.9,13.9,15.685,-0.531,4.441,1.000,-0.371,1.392
77,5.133,B,14.293,0.726,-0.9,-0.9,14.293,0.726,4.668,0.648,-1.000,-1.392
78,5.200,A,15.991,-0.529,14.2,14.2,15.991,-0.529,4.473,1.000,-0.539,1.389
78,5.200,B,14.602,0.723,-0.8,-0.8,14.602,0.723,4.596,0.518,-1.000,-1.389
79,5.267,A,16.299,-0.522,14.1,14.1,16.299,-0.522,4.561,1.000,-0.378,1.395
79,5.267,B,14.905,0.725,-0.4,-0.4,14.904,0.725,4.511,0.752,-1.000,-1.395
80,5.333,A,16.609,-0.513,14.2,14.2,16.609,-0.513,4.533,1.000,-0.677,1.400
80,5.333,B,15.209,0.729,-0.1,-0.1,15.209,0.729,4.569,0.629,-1.000,-1.400
81,5.400,A,16.917,-0.503,14.3,14.3,16.916,-0.503,4.457,1.000,-0.381,1.404
81,5.400,B,15.513,0.733,0.2,0.2,15.513,0.733,4.576,0.538,-1.000,-1.404
82,5.467,A,17.221,-0.499,14.2,14.2,17.221,-0.499,4.444,1.000,-0.387,1.404
82,5.467,B,15.816,0.737,0.3,0.3,15.816,0.737,4.532,0.634,-1.000,-1.404
83,5.533,A,17.525,-0.487,14.6,14.6,17.525,-0.487,4.505,1.000,-0.421,1.409
83,5.533,B,16.117,0.741,0.5,0.5,16.117,0.741,4.477,0.794,-1.000,-1.409
84,5.600,A,17.833,-0.469,14.9,14.9,17.833,-0.469,4.551,1.000,-0.426,1.417
84,5.600,B,16.416,0.751,0.9,0.9,16.416,0.751,4.506,0.749,-1.000,-1.417
