car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car A,57,3.8,1,12.611,1,12.611,-0.257,-0.257,5.4997,1.5305,0.2529,1.0,-0.0485,0.839,4.054
Car B,57,3.8,1,8.557,1,8.557,0.213,0.213,3.8196,0.4953,-0.0564,1.0,1.0,17.779,-4.054
Car A,58,3.8667,1,12.982,1,12.982,-0.26,-0.26,5.5899,1.3527,-0.3706,1.0,0.0642,-1.209,4.169
Car B,58,3.8667,1,8.812,1,8.812,0.195,0.195,3.8443,0.3703,0.8497,1.0,1.0,24.989,-4.169
Car A,59,3.9333,1,13.357,1,13.357,-0.262,-0.262,5.6541,0.963,0.447,1.0,-0.0939,1.601,4.288
Car B,59,3.9333,1,9.07,1,9.07,0.19,0.19,3.8591,0.2216,1.4439,1.0,-0.0435,25.0,-4.288
Car A,60,4.0,1,13.736,1,13.736,-0.264,-0.264,5.6851,0.466,-0.3775,1.0,0.0523,-2.34,4.407
Car B,60,4.0,1,9.329,1,9.329,0.189,0.189,3.8935,0.5157,0.8931,1.0,0.0867,-1.049,-4.407
Car A,61,4.0667,1,14.116,1,14.116,-0.268,-0.268,5.7146,0.4414,0.3054,1.0,0.0263,1.301,4.523
Car B,61,4.0667,1,9.593,1,9.593,0.183,0.183,4.0184,1.874,0.404,1.0,0.4018,2.162,-4.523
Car A,62,4.1333,1,14.502,1,14.502,-0.267,-0.267,5.8424,1.9181,0.2412,1.0,0.0013,0.659,4.638
Car B,62,4.1333,1,9.864,1,9.864,0.181,0.181,4.0719,0.8016,0.949,1.0,-0.151,10.034,-4.638
Car A,63,4.2,1,14.896,1,14.896,-0.268,-0.268,5.9769,2.0166,0.0153,1.0,-0.0251,0.034,4.759
Car B,63,4.2,1,10.137,1,10.137,0.183,0.183,4.111,0.587,0.3214,0.8693,-0.0869,-3.753,-4.759
Car A,64,4.2667,1,15.295,1,15.295,-0.271,-0.271,5.9887,0.1777,-0.0462,1.0,0.1731,-0.61,4.881
Car B,64,4.2667,1,10.414,1,10.414,0.174,0.174,4.1868,1.1375,-0.3346,0.8572,0.022,-2.175,-4.881
Car A,65,4.3333,1,15.694,1,15.694,-0.27,-0.27,5.9878,-0.0133,0.7305,1.0,0.0599,4.32,4.997
Car B,65,4.3333,1,10.697,1,10.697,0.164,0.164,4.293,1.5931,0.0789,0.8653,0.0348,0.545,-4.997
Car A,66,4.4,1,16.094,1,16.094,-0.263,-0.263,5.9833,-0.0674,0.5744,1.0,0.2242,1.499,5.105
Car B,66,4.4,1,10.989,1,10.989,0.158,0.158,4.429,2.039,0.1752,0.8711,0.0183,0.868,-5.105
Car A,67,4.4667,1,16.493,1,16.493,-0.25,-0.25,5.9805,-0.0425,1.3177,1.0,0.1064,5.599,5.203
Car B,67,4.4667,1,11.29,1,11.29,0.152,0.152,4.569,2.1004,0.0971,0.8937,-0.0228,0.457,-5.203
Car A,68,4.5333,1,16.892,1,16.892,-0.23,-0.23,6.0181,0.5642,1.0152,1.0,0.3714,2.665,5.292
Car B,68,4.5333,1,11.599,1,11.599,0.144,0.144,4.6971,1.9215,-0.1332,0.8919,0.008,-0.569,-5.292
Car A,69,4.6,1,17.292,1,17.292,-0.202,-0.202,6.0074,-0.1611,1.7436,1.0,-0.0937,9.275,5.374
Car B,69,4.6,1,11.918,1,11.918,0.136,0.136,4.83,1.9935,0.0472,1.0,-0.0439,0.198,-5.374
Car A,70,4.6667,1,17.691,1,17.691,-0.169,-0.169,6.0144,0.1051,0.6123,1.0,-0.1538,-2.325,5.447
Car B,70,4.6667,1,12.245,1,12.245,0.126,0.126,4.9524,1.8356,-0.271,1.0,-0.033,-1.095,-5.447
Car A,71,4.7333,1,18.091,1,18.092,-0.146,-0.146,6.0139,-0.0079,-0.6012,1.0,1.0,-3.843,5.511
Car B,71,4.7333,1,12.58,1,12.58,0.113,0.113,5.0913,2.0843,-0.2256,1.0,-0.1063,-0.826,-5.511
Car A,72,4.8,1,18.491,1,18.491,-0.126,-0.126,6.0027,-0.1673,0.1295,1.0,0.9546,24.957,5.568
Car B,72,4.8,1,12.923,1,12.923,0.096,0.096,5.1927,1.5212,-0.7042,1.0,-0.0359,-2.654,-5.568
Car A,73,4.8667,1,18.89,1,18.89,-0.095,-0.095,5.9897,-0.1953,1.2826,1.0,1.0,23.866,5.616
Car B,73,4.8667,1,13.274,1,13.274,0.077,0.077,5.3098,1.7567,-0.2798,1.0,0.0486,-0.9,-5.616
Car A,74,4.9333,1,19.286,1,19.286,-0.05,-0.05,5.9756,-0.2117,2.0834,1.0,0.9871,24.998,5.655
Car B,74,4.9333,1,13.631,1,13.631,0.062,0.062,5.4043,1.4168,0.3303,1.0,0.1324,1.212,-5.655
Car A,75,5.0,1,19.68,1,19.68,0.012,0.012,5.9622,-0.2004,2.7018,1.0,0.6115,24.678,5.685
Car B,75,5.0,1,13.995,1,13.995,0.055,0.055,5.4775,1.0988,0.9639,1.0,0.1962,3.305,-5.685
Car A,76,5.0667,1,20.077,1,20.07,0.09,0.084,5.9541,-0.1222,3.1445,1.0,1.0,15.301,5.714
Car B,76,5.0667,1,14.363,1,14.363,0.059,0.059,5.5429,0.9803,1.5074,1.0,0.0604,4.902,-5.714
Car A,77,5.1333,1,20.469,1,20.456,0.185,0.149,5.9425,-0.1732,3.5423,1.0,1.0,24.985,5.734
Car B,77,5.1333,1,14.735,1,14.735,0.065,0.065,5.6157,1.0923,0.5525,1.0,-0.2248,1.516,-5.734
Car A,78,5.2,1,20.857,1,20.836,0.299,0.233,5.9324,-0.1519,3.8257,1.0,1.0,25.0,5.747
Car B,78,5.2,1,15.11,1,15.11,0.064,0.064,5.6228,0.1063,-0.4223,1.0,-0.2432,-5.609,-5.747
Car A,79,5.2667,1,21.289,1,21.21,0.431,0.284,5.9234,-0.135,4.0506,1.0,1.0,25.0,5.804
Car B,79,5.2667,1,15.485,1,15.485,0.051,0.051,5.6302,0.1103,-1.3225,1.0,-0.0291,-6.079,-5.804
Car A,80,5.3333,1,21.681,1,21.577,0.582,0.345,5.9156,-0.1171,4.2256,1.0,1.0,25.0,5.82
Car B,80,5.3333,1,15.861,1,15.861,0.032,0.032,5.6614,0.4692,-0.4005,1.0,0.0616,-0.735,-5.82
Car A,81,5.4,1,22.133,1,21.935,0.751,0.391,5.9086,-0.1045,4.3575,1.0,1.0,24.999,5.892
Car B,81,5.4,1,16.241,1,16.241,0.022,0.022,5.7267,0.9783,0.4758,1.0,0.1954,1.536,-5.892
Car A,82,5.4667,1,22.526,1,22.284,0.938,0.431,5.9025,-0.0926,4.4626,1.0,1.0,24.999,5.903
Car B,82,5.4667,1,16.624,1,16.624,0.023,0.023,5.7452,0.2782,1.2512,1.0,-0.076,4.879,-5.903
Car A,83,5.5333,1,22.993,1,22.622,1.143,0.47,5.8969,-0.083,4.5457,1.0,1.0,24.999,5.986
Car B,83,5.5333,1,17.007,1,17.007,0.027,0.027,5.7584,0.1983,0.2883,0.8141,-0.0293,-1.89,-5.986
Car A,84,5.6,1,23.387,1,22.948,1.365,0.489,5.8919,-0.0755,4.6106,1.0,1.0,24.999,6.002
Car B,84,5.6,1,17.385,1,17.385,0.024,0.024,5.6086,-2.2465,-0.2044,0.8311,-0.0714,-0.734,-6.002
Car A,85,5.6667,1,23.863,1,23.262,1.605,0.521,5.8874,-0.0674,4.6635,1.0,1.0,24.999,6.11
Car B,85,5.6667,1,17.753,1,17.753,0.016,0.016,5.4556,-2.2962,-0.5398,0.7848,0.0425,-1.783,-6.11
Car A,86,5.7333,1,24.257,1,23.562,1.861,0.52,5.8832,-0.0633,4.7039,1.0,1.0,24.999,6.145
Car B,86,5.7333,1,18.112,1,18.112,0.009,0.009,5.3434,-1.6831,0.1929,0.6275,0.3994,1.058,-6.145
Car A,87,5.8,1,24.651,1,23.848,2.132,0.541,5.8792,-0.0593,4.7349,1.0,1.0,24.999,6.187
Car B,87,5.8,1,18.464,1,18.464,0.011,0.011,5.264,-1.1897,0.9207,0.7841,0.3239,9.97,-6.187
Car A,88,5.8667,1,25.13,1,24.119,2.419,0.524,5.8756,-0.0547,4.7607,1.0,1.0,24.999,6.316
