car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car A,73,4.8667,1,11.172,1,11.172,0.389,0.389,4.0812,0.1286,2.8834,1.0,0.6913,25.0,-3.775
Car B,73,4.8667,1,14.948,1,14.948,-0.26,-0.26,5.7023,0.1425,0.9823,1.0,-0.0824,4.793,3.775
Car A,74,4.9333,1,11.45,1,11.45,0.4,0.4,4.1684,1.3089,2.8408,1.0,-0.308,17.294,-3.879
Car B,74,4.9333,1,15.328,1,15.328,-0.253,-0.253,5.7159,0.2034,0.0922,1.0,0.0728,-2.049,3.879
Car A,75,5.0,1,11.731,1,11.731,0.416,0.416,4.2269,0.8765,2.0242,1.0,-0.2671,-7.663,-3.979
Car B,75,5.0,1,15.71,1,15.71,-0.25,-0.25,5.752,0.5425,0.595,1.0,0.0192,1.813,3.979
Car A,76,5.0667,1,12.016,1,12.016,0.424,0.424,4.281,0.8117,0.6305,1.0,-1.0,-6.679,-4.082
Car B,76,5.0667,1,16.097,1,16.098,-0.244,-0.244,5.8553,1.5488,0.1762,1.0,0.5616,0.482,4.082
Car A,77,5.1333,1,12.302,1,12.302,0.42,0.42,4.3023,0.3203,-0.0515,1.0,-1.0,-24.972,-4.185
Car B,77,5.1333,1,16.488,1,16.488,-0.234,-0.234,5.8523,-0.0453,1.0193,1.0,0.0182,14.018,4.185
Car A,78,5.2,1,12.589,1,12.589,0.404,0.404,4.3179,0.2328,-1.0477,1.0,-0.6547,-25.0,-4.288
Car B,78,5.2,1,16.878,1,16.878,-0.219,-0.219,5.8714,0.2871,0.1272,1.0,0.2443,0.475,4.288
Car A,79,5.2667,1,12.877,1,12.877,0.373,0.373,4.3311,0.199,-1.6684,1.0,-0.4883,-16.379,-4.392
Car B,79,5.2667,1,17.269,1,17.269,-0.203,-0.203,5.8721,0.0103,0.9651,1.0,-0.2526,6.098,4.392
Car A,80,5.3333,1,13.165,1,13.165,0.329,0.329,4.3763,0.6782,-2.0785,0.8846,-0.1147,-12.214,-4.495
Car B,80,5.3333,1,17.66,1,17.66,-0.183,-0.183,5.8745,0.0357,0.0458,1.0,-0.2687,-6.296,4.495
Car A,81,5.4,1,13.455,1,13.455,0.279,0.279,4.431,0.8201,-1.138,0.8916,0.0889,-2.883,-4.597
Car B,81,5.4,1,18.052,1,18.052,-0.176,-0.176,5.8751,0.0093,-0.9998,1.0,0.5037,-6.716,4.597
Car A,82,5.4667,1,13.749,1,13.75,0.239,0.239,4.4718,0.612,-0.0878,1.0,0.7577,2.215,-4.693
Car B,82,5.4667,1,18.443,1,18.443,-0.172,-0.172,5.8764,0.0198,-0.3787,1.0,0.1627,12.562,4.693
Car A,83,5.5333,1,14.047,1,14.047,0.21,0.21,4.4926,0.3124,0.7499,1.0,0.9628,18.915,-4.787
Car B,83,5.5333,1,18.834,1,18.834,-0.157,-0.157,5.8773,0.0137,0.9404,1.0,-0.1162,4.081,4.787
Car A,84,5.6,1,14.347,1,14.347,0.194,0.194,4.5003,0.1144,1.466,1.0,0.6641,24.062,-4.879
Car B,84,5.6,1,19.226,1,19.226,-0.138,-0.138,5.8822,0.0726,0.0281,1.0,-0.0242,-2.894,4.879
Car A,85,5.6667,1,14.648,1,14.648,0.193,0.193,4.5118,0.1725,2.0037,1.0,-0.0412,16.614,-4.973
Car B,85,5.6667,1,19.621,1,19.621,-0.126,-0.126,5.9758,1.4043,-0.2321,1.0,-0.0723,-0.604,4.973
Car A,86,5.7333,1,14.951,1,14.951,0.198,0.198,4.5516,0.5974,1.1008,1.0,-0.3658,-1.003,-5.059
Car B,86,5.7333,1,20.009,1,20.019,-0.119,-0.12,5.9582,-0.2632,-0.7122,1.0,1.0,-1.803,5.059
Car A,87,5.8,1,15.256,1,15.256,0.193,0.193,4.5806,0.4346,0.0009,0.8753,-0.067,-9.131,-5.15
Car B,87,5.8,1,20.406,1,20.416,-0.109,-0.141,5.9557,-0.0374,0.2191,1.0,1.0,24.96,5.15
Car A,88,5.8667,1,15.564,1,15.564,0.179,0.179,4.6738,1.3981,-0.3389,0.8704,-0.0056,-1.686,-5.238
Car B,88,5.8667,1,20.802,1,20.812,-0.088,-0.152,5.9408,-0.2238,1.4045,1.0,1.0,25.0,5.238
Car A,89,5.9333,1,15.88,1,15.88,0.164,0.164,4.7932,1.7904,-0.026,0.8903,-0.0671,-0.143,-5.292
Car B,89,5.9333,1,21.172,1,21.206,-0.052,-0.185,5.9276,-0.1976,2.1717,1.0,1.0,25.0,5.292
Car A,90,6.0,1,16.203,1,16.204,0.148,0.148,4.9061,1.6943,-0.4304,0.8761,-0.0408,-1.675,-5.362
Car B,90,6.0,1,21.565,1,21.598,0.001,-0.225,5.9147,-0.1945,2.7657,1.0,1.0,25.0,5.362
Car A,91,6.0667,1,16.536,1,16.536,0.129,0.129,5.0414,2.0288,-0.2792,0.8867,-0.1003,-1.022,-5.384
Car B,91,6.0667,1,21.919,1,21.986,0.07,-0.257,5.9026,-0.1804,3.2271,1.0,1.0,25.0,5.384
Car A,92,6.1333,1,16.874,1,16.874,0.106,0.106,5.1322,1.3623,-0.6561,0.8732,-0.0371,-2.505,-5.434
Car B,92,6.1333,1,22.308,1,22.371,0.157,-0.324,5.892,-0.159,3.5889,1.0,1.0,25.0,5.434
Car A,93,6.2,1,17.217,1,17.217,0.081,0.081,5.1961,0.9583,-0.2649,1.0,1.0,-0.929,-5.482
Car B,93,6.2,1,22.699,1,22.75,0.263,-0.372,5.8827,-0.1404,3.8669,1.0,1.0,25.0,5.482
Car A,94,6.2667,1,17.563,1,17.563,0.063,0.063,5.1998,0.0553,0.4319,1.0,1.0,24.961,-5.463
Car B,94,6.2667,1,23.026,1,23.124,0.387,-0.437,5.8746,-0.1216,4.0809,1.0,1.0,25.0,5.463
Car A,95,6.3333,1,17.91,1,17.91,0.056,0.056,5.1977,-0.0308,1.4571,1.0,1.0,25.0,-5.503
Car B,95,6.3333,1,23.413,1,23.49,0.53,-0.506,5.8675,-0.1054,4.2462,1.0,1.0,24.999,5.503
Car A,96,6.4,1,18.257,1,18.257,0.064,0.064,5.1947,-0.0452,2.1272,1.0,1.0,25.0,-5.509
Car B,96,6.4,1,23.766,1,23.848,0.691,-0.557,5.8614,-0.0916,4.3755,1.0,1.0,24.999,5.509
Car A,97,6.4667,1,18.603,1,18.603,0.089,0.089,5.1912,-0.052,2.6667,1.0,-0.0188,25.0,-5.494
Car B,97,6.4667,1,24.097,1,24.197,0.871,-0.644,5.856,-0.0809,4.4762,1.0,1.0,24.999,5.494
Car A,98,6.5333,1,18.949,1,18.949,0.121,0.121,5.2179,0.4003,1.7036,1.0,1.0,-0.431,-5.534
Car B,98,6.5333,1,24.483,1,24.536,1.069,-0.714,5.8513,-0.0718,4.5565,1.0,1.0,24.999,5.534
Car A,99,6.6,1,19.295,1,19.295,0.155,0.155,5.2192,0.0192,1.5856,1.0,-0.0504,24.962,-5.456
Car B,99,6.6,1,24.751,1,24.863,1.285,-0.779,5.847,-0.064,4.6196,1.0,1.0,24.999,5.456
