car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car B,35,2.3333,1,3.033,1,3.033,0.871,0.871,2.4735,2.353,0.9265,1.0,-0.4838,5.479,-1.231
Car A,36,2.4,1,4.493,1,4.493,-0.527,-0.527,3.4102,-0.1665,-0.1306,1.0,-0.7396,-20.056,1.291
Car B,36,2.4,1,3.202,1,3.202,0.867,0.867,2.5516,1.172,0.2807,1.0,-1.0,-12.066,-1.291
Car A,37,2.4667,1,4.709,1,4.709,-0.52,-0.52,3.1426,-4.0134,-0.0637,1.0,-0.3724,-18.491,1.326
Car B,37,2.4667,1,3.384,1,3.384,0.863,0.863,2.8146,3.9448,0.6779,1.0,-1.0,-24.98,-1.326
Car A,38,2.5333,1,4.918,1,4.918,-0.518,-0.518,3.097,-0.684,-0.059,1.0,-0.2654,-9.324,1.341
Car B,38,2.5333,1,3.578,1,3.578,0.86,0.86,2.9694,2.3219,0.4861,1.0,-1.0,-25.0,-1.341
Car A,39,2.6,1,5.128,1,5.128,-0.516,-0.516,3.14,0.6448,0.0957,1.0,-0.2542,-6.64,1.348
Car B,39,2.6,1,3.78,1,3.78,0.854,0.854,3.0571,1.3155,0.3803,1.0,-1.0,-25.0,-1.348
Car A,40,2.6667,1,5.342,1,5.342,-0.513,-0.513,3.2026,0.9389,0.1546,1.0,-0.2631,-6.355,1.355
Car B,40,2.6667,1,3.987,1,3.987,0.849,0.849,3.1376,1.2083,0.3588,1.0,-1.0,-25.0,-1.355
Car A,41,2.7333,1,5.56,1,5.56,-0.508,-0.508,3.2817,1.187,0.1359,1.0,-0.2988,-6.577,1.362
Car B,41,2.7333,1,4.198,1,4.198,0.845,0.845,3.1997,0.9304,0.3649,1.0,-1.0,-25.0,-1.362
Car A,42,2.8,1,5.783,1,5.783,-0.504,-0.504,3.323,0.6186,0.0951,1.0,-0.2684,-7.468,1.367
Car B,42,2.8,1,4.415,1,4.415,0.842,0.842,3.2959,1.444,0.3172,1.0,-1.0,-25.0,-1.367
Car A,43,2.8667,1,6.01,1,6.01,-0.499,-0.499,3.4044,1.2207,0.1593,1.0,-0.3274,-6.711,1.373
Car B,43,2.8667,1,4.637,1,4.637,0.84,0.84,3.3411,0.6775,0.3224,1.0,-1.0,-25.0,-1.373
Car A,44,2.9333,1,6.241,1,6.241,-0.495,-0.495,3.439,0.5189,0.0685,1.0,-0.2942,-8.182,1.378
Car B,44,2.9333,1,4.863,1,4.863,0.838,0.838,3.4311,1.3496,0.2484,1.0,-1.0,-25.0,-1.378
Car A,45,3.0,1,6.476,1,6.476,-0.491,-0.491,3.5202,1.218,0.1502,1.0,-0.3599,-7.356,1.382
Car B,45,3.0,1,5.094,1,5.094,0.836,0.836,3.4704,0.5896,0.258,1.0,-1.0,-25.0,-1.382
Car A,46,3.0667,1,6.714,1,6.714,-0.488,-0.488,3.551,0.4628,0.042,1.0,-0.3316,-8.995,1.385
Car B,46,3.0667,1,5.329,1,5.329,0.834,0.834,3.5465,1.1423,0.1895,1.0,-1.0,-25.0,-1.385
Car A,47,3.1333,1,6.956,1,6.956,-0.486,-0.486,3.6116,0.9088,0.1121,1.0,-0.3541,-8.291,1.388
Car B,47,3.1333,1,5.568,1,5.568,0.832,0.832,3.6109,0.9651,0.1758,1.0,-1.0,-25.0,-1.388
Car A,48,3.2,1,7.202,1,7.202,-0.483,-0.483,3.6669,0.8298,0.0898,1.0,-0.3566,-8.852,1.39
Car B,48,3.2,1,5.812,1,5.812,0.831,0.831,3.6826,1.0753,0.1558,1.0,-1.0,-25.0,-1.39
Car A,49,3.2667,1,7.452,1,7.452,-0.48,-0.48,3.7284,0.9216,0.0872,1.0,-0.3765,-8.915,1.393
Car B,49,3.2667,1,6.06,1,6.06,0.83,0.83,3.7457,0.9467,0.1591,1.0,-1.0,-25.0,-1.393
Car A,50,3.3333,1,7.707,1,7.707,-0.477,-0.477,3.779,0.7593,0.0716,1.0,-0.3719,-9.411,1.394
Car B,50,3.3333,1,6.312,1,6.312,0.829,0.829,3.8156,1.0492,0.1171,1.0,-1.0,-24.999,-1.394
Car A,51,3.4,1,7.965,1,7.965,-0.475,-0.475,3.8388,0.8971,0.1137,1.0,-0.3971,-9.297,1.396
Car B,51,3.4,1,6.569,1,6.569,0.828,0.828,3.8756,0.8997,0.1162,1.0,-1.0,-25.0,-1.396
Car A,52,3.4667,1,8.227,1,8.227,-0.473,-0.473,3.8878,0.7347,0.0762,1.0,-0.3914,-9.926,1.398
Car B,52,3.4667,1,6.829,1,6.83,0.828,0.828,3.9411,0.9831,0.069,1.0,-1.0,-24.999,-1.398
Car A,53,3.5333,1,8.493,1,8.493,-0.471,-0.471,3.9443,0.8476,0.108,1.0,-0.4111,-9.785,1.399
Car B,53,3.5333,1,7.094,1,7.094,0.827,0.827,4.0009,0.8958,0.0794,1.0,-1.0,-25.0,-1.399
Car A,54,3.6,1,8.763,1,8.763,-0.469,-0.469,3.9984,0.8122,0.0922,1.0,-0.4254,-10.276,1.4
Car B,54,3.6,1,7.363,1,7.363,0.826,0.826,4.0566,0.8368,0.0401,1.0,-1.0,-25.0,-1.4
Car A,55,3.6667,1,9.036,1,9.037,-0.468,-0.468,4.0437,0.6798,0.0835,1.0,-0.4156,-10.635,1.401
Car B,55,3.6667,1,7.636,1,7.636,0.825,0.825,4.1203,0.9555,0.0028,1.0,-1.0,-24.999,-1.401
Car A,56,3.7333,1,9.314,1,9.314,-0.468,-0.468,4.0975,0.8069,0.1246,1.0,-0.4359,-10.39,1.401
Car B,56,3.7333,1,7.912,1,7.912,0.824,0.824,4.1777,0.8606,0.0273,1.0,-1.0,-24.999,-1.401
Car A,57,3.8,1,9.595,1,9.595,-0.467,-0.467,4.1452,0.7154,0.0953,1.0,-0.4387,-10.898,1.402
Car B,57,3.8,1,8.193,1,8.193,0.823,0.823,4.2333,0.8339,0.0123,1.0,-1.0,-25.0,-1.402
Car A,58,3.8667,1,9.879,1,9.879,-0.466,-0.466,4.2005,0.8292,0.0703,1.0,-0.456,-10.967,1.403
Car B,58,3.8667,1,8.477,1,8.477,0.822,0.822,4.2868,0.8031,0.0286,0.9866,-1.0,-25.0,-1.403
Car A,59,3.9333,1,10.167,1,10.167,-0.466,-0.466,4.2483,0.717,0.0676,1.0,-0.4658,-11.398,1.403
Car B,59,3.9333,1,8.764,1,8.764,0.82,0.82,4.3367,0.7471,-0.001,0.9893,-1.0,-25.0,-1.403
Car A,60,4.0,1,10.458,1,10.458,-0.467,-0.467,4.2934,0.6757,0.0479,1.0,-0.4581,-11.645,1.402
Car B,60,4.0,1,9.056,1,9.056,0.819,0.819,4.3926,0.8396,-0.0141,0.9613,-1.0,-25.0,-1.402
Car A,61,4.0667,1,10.753,1,10.753,-0.468,-0.468,4.3488,0.8313,0.0997,1.0,-0.499,-11.452,1.403
Car B,61,4.0667,1,9.35,1,9.35,0.816,0.816,4.4354,0.6422,0.0031,0.9618,-1.0,-25.0,-1.403
Car A,62,4.1333,1,11.05,1,11.051,-0.47,-0.47,4.3641,0.2299,0.0178,1.0,-0.4014,-12.473,1.402
Car B,62,4.1333,1,9.648,1,9.648,0.814,0.814,4.5024,1.0036,-0.0778,0.9039,-1.0,-24.999,-1.402
Car A,63,4.2,1,11.35,1,11.35,-0.471,-0.471,4.4125,0.7252,0.5232,1.0,-0.5503,-10.039,1.401
Car B,63,4.2,1,9.949,1,9.949,0.809,0.809,4.5123,0.1493,-0.1031,0.9794,-1.0,-25.0,-1.401
Car A,64,4.2667,1,11.652,1,11.652,-0.473,-0.473,4.4017,-0.1612,-0.0962,1.0,-0.374,-13.751,1.401
Car B,64,4.2667,1,10.251,1,10.251,0.806,0.806,4.5637,0.7706,-0.0481,0.8206,-1.0,-24.999,-1.401
Car A,65,4.3333,1,11.953,1,11.953,-0.475,-0.475,4.4114,0.146,0.7116,1.0,-0.5597,-9.356,1.398
Car B,65,4.3333,1,10.556,1,10.556,0.8,0.8,4.5698,0.0925,-0.2336,0.9537,-1.0,-25.0,-1.398
Car A,66,4.4,1,12.256,1,12.256,-0.477,-0.477,4.4281,0.2498,0.0666,1.0,-0.5501,-13.986,1.395
Car B,66,4.4,1,10.861,1,10.861,0.793,0.793,4.5762,0.0959,-0.0574,0.8407,-1.0,-25.0,-1.395
Car A,67,4.4667,1,12.562,1,12.562,-0.482,-0.482,4.4703,0.6337,0.1212,1.0,-0.5794,-13.752,1.396
Car B,67,4.4667,1,11.167,1,11.167,0.787,0.787,4.6095,0.4982,-0.0482,0.8376,-1.0,-25.0,-1.396
Car A,68,4.5333,1,12.871,1,12.871,-0.488,-0.488,4.491,0.3092,0.109,1.0,-0.5359,-14.485,1.396
Car B,68,4.5333,1,11.476,1,11.476,0.78,0.78,4.6528,0.6502,-0.1081,0.8411,-1.0,-24.999,-1.396
Car A,69,4.6,1,13.182,1,13.182,-0.494,-0.494,4.5345,0.6526,0.4678,1.0,-0.626,-13.398,1.396
Car B,69,4.6,1,11.787,1,11.787,0.772,0.772,4.6674,0.219,-0.1465,0.9012,-1.0,-25.0,-1.396
Car A,70,4.6667,1,13.496,1,13.496,-0.501,-0.501,4.5311,-0.0502,-0.1247,1.0,-0.4388,-15.647,1.396
Car B,70,4.6667,1,12.1,1,12.1,0.764,0.764,4.7208,0.8014,-0.0247,0.7107,-1.0,-25.0,-1.396
Car A,71,4.7333,1,13.808,1,13.808,-0.507,-0.507,4.5257,-0.082,0.6923,1.0,-0.5939,-10.978,1.394
Car B,71,4.7333,1,12.414,1,12.414,0.755,0.755,4.7186,-0.0339,-0.1797,0.8349,-1.0,-25.0,-1.394
Car A,72,4.8,1,14.122,1,14.123,-0.509,-0.509,4.5744,0.7307,0.0058,1.0,-0.65,-14.84,1.395
