#{"t_start": 1789594074.8588004, "env_id": "None"}
r,l,t
65.80227,500,806.763814
-474.12833,500,808.794515
-748.8344,500,811.669272
-77.09208,500,812.620811
-119.43687,500,814.944055
-51.06653,62,815.525852
86.85016,500,824.84051
-690.5782,500,828.91219
-695.5001,500,829.172682
-36.376816,500,833.001603
-44.640297,500,834.112921
-770.8293,500,834.230184
78.44549,500,836.185292
-57.570637,165,837.677258
-454.1506,500,839.991098
87.50845,500,841.414523
-702.2218,500,842.90377
-57.73855,52,844.792778
104.76126,500,852.177105
-252.91351,194,854.754207
115.82858,500,855.499485
-394.5557,312,859.520549
-46.102554,64,859.590201
110.83806,500,860.408954
-437.77316,500,861.508889
109.94071,500,861.627151
-45.049847,49,861.940089
113.95768,500,862.756891
72.63918,500,865.108601
40.925186,500,867.433458
-53.187218,64,868.17304
-60.525772,62,871.242478
-193.58252,179,872.981066
-351.31473,500,879.517061
-229.51291,500,882.107637
-64.58144,74,883.024902
-47.988705,52,886.343522
120.910065,500,886.738549
57.087193,500,887.618258
-269.58966,278,887.892469
103.290215,500,888.798579
86.25729,500,888.915816
-111.90908,500,889.225324
-47.991287,44,889.853762
111.741936,500,895.313864
88.496956,500,898.351497
-46.091354,62,901.263893
-463.11386,500,909.229204
-166.83963,500,913.392004
103.70801,500,913.783782
-33.9591,500,914.825385
-359.5859,500,915.682782
-76.49284,121,915.796
-220.7505,500,915.796
35.894325,500,916.09844
-231.10027,500,916.714007
-48.056366,63,919.9762
-50.179,65,920.69248
118.87453,500,922.341399
-49.212013,48,923.01108
-87.72029,87,924.16135
-64.73237,43,924.419666
-48.154015,72,927.300572
101.31095,500,928.41837
-308.21082,339,934.540352
-474.92538,500,940.604801
15.688343,500,941.002199
99.62688,500,942.050996
-415.59778,500,942.938858
118.17816,500,943.052885
-45.777065,62,943.9928
-48.255154,43,946.878156
-130.53445,85,946.996396
-13.022714,500,951.408453
-111.372154,500,951.669908
-58.864185,500,954.600459
95.87548,500,955.710256
-44.711464,47,956.895414
-70.38373,108,957.543979
-44.8239,60,958.645267
-113.18036,139,959.288247
-49.960396,56,961.081542
79.42039,500,962.005351
-60.069683,93,962.259744
-202.09785,500,968.07329
-4.092482,500,970.346434
-159.6051,500,970.466688
-129.57559,500,973.484591
-393.83408,500,973.615391
-224.65932,500,986.187975
-377.1297,230,986.49148
-144.8532,500,986.847764
-574.4775,500,987.808892
-47.146866,48,989.391788
-48.906685,46,989.602495
113.60772,500,989.602495
34.17611,500,989.858675
-46.765625,67,991.908041
98.8401,500,994.898109
-612.7452,500,998.030648
86.634995,500,998.155907
113.86593,500,1001.192737
-93.23197,97,1003.544336
121.87164,500,1014.038924
53.436337,500,1015.72365
-177.95099,500,1015.942177
109.28606,500,1015.942177
-209.79655,500,1017.098233
-637.5689,500,1019.24862
-98.8604,98,1019.858883
-74.62583,77,1020.537571
-77.93869,500,1022.358541
-43.182346,73,1022.854444
-58.185974,84,1025.535398
106.91427,500,1025.789279
-183.87433,201,1027.836209
-43.746326,62,1028.769758
-81.940025,500,1029.149199
-152.26138,500,1030.625918
-292.17255,193,1040.182491
100.023056,500,1044.050934
35.099102,500,1044.305952
120.90977,500,1047.655184
-726.275,500,1050.069291
-288.6169,500,1050.545651
-553.098,440,1051.500328
82.99993,500,1053.303447
114.832436,500,1056.059762
-489.85135,500,1057.864283
